,Currency,Year,Quarter,Rate,meanCurrency,sdCurrency,StandardRate
1566,THB,2007,Q1,0.015088333,0.018724489,0.002348418,-0.657823592
1557,THB,2008,Q1,0.016299667,0.018724489,0.002348418,-0.657823592
1574,THB,2009,Q1,0.019709,0.018724489,0.002348418,-0.657823592
1578,THB,2010,Q1,0.019504667,0.018724489,0.002348418,-0.657823592
1569,THB,2011,Q1,0.020447333,0.018724489,0.002348418,-0.657823592
1582,THB,2012,Q1,0.020543667,0.018724489,0.002348418,-0.657823592
1550,THB,2013,Q1,0.021645333,0.018724489,0.002348418,-0.657823592
1554,THB,2014,Q1,0.018512333,0.018724489,0.002348418,-0.657823592
1541,THB,2015,Q1,0.020223,0.018724489,0.002348418,-0.657823592
1548,THB,2016,Q1,0.019591667,0.018724489,0.002348418,-0.657823592
1605,TRY,2006,Q4,0.358933333,0.350343947,0.066559729,-0.657823592
1609,TRY,2007,Q4,0.411515667,0.350343947,0.066559729,-0.657823592
1613,TRY,2008,Q4,0.415062,0.350343947,0.066559729,-0.657823592
1617,TRY,2009,Q4,0.410530667,0.350343947,0.066559729,-0.657823592
1621,TRY,2010,Q4,0.432360667,0.350343947,0.066559729,-0.657823592
1612,TRY,2011,Q4,0.346132667,0.350343947,0.066559729,-0.657823592
1601,TRY,2012,Q4,0.347124667,0.350343947,0.066559729,-0.657823592
1592,TRY,2013,Q4,0.305176,0.350343947,0.066559729,-0.657823592
1586,TRY,2014,Q4,0.279462333,0.350343947,0.066559729,-0.657823592
1628,TRY,2015,Q4,0.22669,0.350343947,0.066559729,-0.657823592
1596,TRY,2016,Q4,0.260699,0.350343947,0.066559729,-0.657823592
1604,TRY,2006,Q3,0.355602667,0.350343947,0.066559729,-0.657823592
1608,TRY,2007,Q3,0.385229333,0.350343947,0.066559729,-0.657823592
1599,TRY,2008,Q3,0.437326667,0.350343947,0.066559729,-0.657823592
1616,TRY,2009,Q3,0.406985333,0.350343947,0.066559729,-0.657823592
1620,TRY,2010,Q3,0.426058667,0.350343947,0.066559729,-0.657823592
1611,TRY,2011,Q3,0.358000667,0.350343947,0.066559729,-0.657823592
1587,TRY,2012,Q3,0.351015667,0.350343947,0.066559729,-0.657823592
1591,TRY,2013,Q3,0.327362,0.350343947,0.066559729,-0.657823592
1595,TRY,2014,Q3,0.276982667,0.350343947,0.066559729,-0.657823592
1600,TRY,2015,Q3,0.226499667,0.350343947,0.066559729,-0.657823592
1627,TRY,2016,Q3,0.256852667,0.350343947,0.066559729,-0.657823592
1603,TRY,2006,Q2,0.378152,0.350343947,0.066559729,-0.657823592
1607,TRY,2007,Q2,0.376854,0.350343947,0.066559729,-0.657823592
1598,TRY,2008,Q2,0.402587333,0.350343947,0.066559729,-0.657823592
1615,TRY,2009,Q2,0.412011667,0.350343947,0.066559729,-0.657823592
1619,TRY,2010,Q2,0.435560667,0.350343947,0.066559729,-0.657823592
1610,TRY,2011,Q2,0.391748,0.350343947,0.066559729,-0.657823592
1623,TRY,2012,Q2,0.349822333,0.350343947,0.066559729,-0.657823592
1590,TRY,2013,Q2,0.354256,0.350343947,0.066559729,-0.657823592
1594,TRY,2014,Q2,0.281429,0.350343947,0.066559729,-0.657823592
1588,TRY,2015,Q2,0.245050333,0.350343947,0.066559729,-0.657823592
1625,TRY,2016,Q2,0.240889333,0.350343947,0.066559729,-0.657823592
1602,TRY,2006,Q1,0.428565333,0.350343947,0.066559729,-0.657823592
1606,TRY,2007,Q1,0.362813667,0.350343947,0.066559729,-0.657823592
1597,TRY,2008,Q1,0.419439667,0.350343947,0.066559729,-0.657823592
1614,TRY,2009,Q1,0.419875667,0.350343947,0.066559729,-0.657823592
1618,TRY,2010,Q1,0.424705,0.350343947,0.066559729,-0.657823592
1622,TRY,2011,Q1,0.395641333,0.350343947,0.066559729,-0.657823592
1626,TRY,2012,Q1,0.354293333,0.350343947,0.066559729,-0.657823592
1589,TRY,2013,Q1,0.361353667,0.350343947,0.066559729,-0.657823592
1593,TRY,2014,Q1,0.272983333,0.350343947,0.066559729,-0.657823592
1585,TRY,2015,Q1,0.268173,0.350343947,0.066559729,-0.657823592
1624,TRY,2016,Q1,0.237326,0.350343947,0.066559729,-0.657823592
